First Name,Surname,Team,Favoured Formation,Respect,Ability ,Knoweldge,Belief
Adin, Coppola, Cameroon,3-6-1,0.77,0.08,0.87,0.65
Awa, Seng, Wales,3-6-1,0.81,0.65,0.74,0.91
Shaimaa, D'Amico, England,4-5-1,0.94,0.51,0.85,0.87
Sherifa, Thompson, Portugal,4-5-1,0.66,0.23,0.01,0.55
Elsie, Nagy, Costa Rica,3-5-2,0.4,0.34,0.84,0.79
Christos, Doherty, Saudi Arabia,3-6-1,0.39,0.85,0.75,0.3
Finlay, Peeters, Netherlands,3-6-1,0.96,0.78,0.29,0.51
Yassin, Watson, South Korea,4-4-2,0.96,0.69,0.34,0.84
Moussa, Koren, Morocco,4-4-2,0.45,0.27,0.28,0.01
Lía, Simon, Iran,4-3-3,0.67,0.49,0.12,0.54
Lethokuhle, Smits, Qatar,4-3-3,0.69,0.6,0.5,0.34
Eliška, Godoy, Brazil,4-3-3,0.21,0.03,0.37,0.02
Ambre, Yoon, Poland,4-3-3,0.13,0.03,0.4,0.89
Somboon, Montanari, Serbia,4-4-2,0.47,0.19,0.78,0.81
Ana Paula, Cervantes, France,4-4-2,0.94,0.06,0.66,0.79
Isabelle, Méndez, Tunisia,3-6-1,0.14,0.49,0.43,0.53
Patrícia, Valenzuela, Croatia,4-5-1,0.1,0.21,0.35,0.41
Lethabo, Rinaldi, Ecuador,4-4-2,0.13,0.63,0.39,0.17
Dalal, Nava, Argentina,3-5-2,0.57,0.88,0.72,0.0
Kirollos, Khlot, USA,4-4-2,0.11,0.04,0.56,0.46
Adama, Allen, Uruguay,4-3-3,0.04,0.45,0.46,0.14
Elsa, Karunaratne, Japan,4-3-3,0.43,0.94,0.54,0.99
Vasilije, Ghazaryan, Ghana,4-3-3,0.38,0.35,0.3,0.81
Fadi, Gim, Switzerland,4-5-1,0.2,0.87,0.51,0.9
Omer, Ortíz, Spain,3-6-1,0.71,0.07,0.8,0.58
Maja, Liv, Canada,3-5-2,0.32,0.85,0.48,0.83
Artur, Rivera, Belgium,4-5-1,0.72,0.67,0.92,0.46
Nina, Madrigal, Senegal,3-5-2,0.64,0.52,0.26,0.23
Dimitrios, Oliveira, Denmark,4-4-2,0.95,0.73,0.38,0.63
Ji-woo, Conti, Mexico,4-5-1,0.08,0.64,0.41,0.89
Daan, Zukić, Australia,3-5-2,0.08,0.87,0.15,0.89
Noor, Kos, Germany,4-5-1,0.89,0.5,0.13,0.29