First Name,Surname,Team,Position,Fitness,Passing accuracy,Shot accuracy,Shot frequency,Defensiveness,Agression,Position,Dribbling,Chance Creation,Offside adherence
Nuka, Ademović, Australia, Goal Keeper,0.22,0.51,0.15,0.34,0.75,0.89,0.48,0.39,0.03,0.9
Abbas, Aguilar, Senegal, Midfielder,0.64,0.85,0.38,0.73,0.49,0.72,0.61,0.95,0.93,0.7
Óliver, Aguirre, Ecuador, Goal Keeper,0.45,0.76,0.47,0.21,0.99,0.85,0.98,0.34,0.02,0.94
Pari, Ahamed, Senegal, Midfielder,0.58,0.67,0.75,0.45,0.37,0.46,0.8,0.74,0.91,0.72
Irina, Ahmadov, Wales, Goal Keeper,0.67,0.87,0.26,0.34,0.76,0.83,0.81,0.37,0.15,0.83
Daniil, Ahmetović, Brazil, Goal Keeper,0.12,0.65,0.47,0.35,0.86,0.35,0.96,0.36,0.18,0.95
Chih-hao, Ahn, Wales, Forward,0.15,0.48,0.66,0.64,0.49,0.3,0.78,0.7,0.76,0.46
Ana, Ahn, Belgium, Forward,0.93,0.46,0.57,0.82,0.32,0.33,0.63,0.45,0.42,0.48
Rin, Aigner, Iran, Defender,0.41,0.72,0.42,0.09,0.52,0.51,0.73,0.61,0.53,0.95
Théo, Ali, Netherlands, Forward,0.92,0.41,0.7,0.79,0.42,0.47,0.57,0.71,0.35,0.66
Omer, Ali, USA, Defender,0.35,0.85,0.43,0.0,0.65,0.89,0.47,0.65,0.59,0.9
Louise, Aliyev, Costa Rica, Goal Keeper,0.0,0.89,0.49,0.23,0.85,0.59,0.52,0.25,0.12,0.95
Cillian, Allen, Poland, Forward,0.39,0.53,0.58,0.54,0.28,0.64,0.49,0.49,0.73,0.48
Yehuda, Almeida, Uruguay, Defender,0.07,0.64,0.39,0.18,0.83,0.75,0.57,0.37,0.13,0.91
Katrina, Alonso, Cameroon, Forward,0.26,0.54,0.68,0.97,0.6,0.66,0.57,0.44,0.75,0.53
Victor, Alonso, Tunisia, Forward,0.39,0.49,0.7,0.87,0.49,0.77,0.53,0.76,0.96,0.4
Angeliki, Álvarez, Brazil, Midfielder,0.15,0.52,0.32,0.32,0.77,0.29,0.84,0.62,0.64,0.61
Adéla, Amarasinghe, Poland, Defender,0.81,0.76,0.43,0.56,0.74,0.92,0.5,0.78,0.37,0.97
Sara, Amarasinghe, Switzerland, Midfielder,0.16,0.63,0.61,0.52,0.65,0.23,0.62,0.58,0.54,0.53
Adam, Amato, Wales, Forward,0.41,0.52,0.82,0.57,0.55,0.51,0.64,0.46,0.99,0.4
Delfina, Amato, Tunisia, Midfielder,0.85,0.79,0.49,0.86,0.33,0.33,0.89,0.74,0.45,0.68
Felipe, Amato, Mexico, Goal Keeper,0.27,0.57,0.37,0.25,0.98,0.85,0.82,0.37,0.03,0.95
Vár, Ang, Costa Rica, Midfielder,0.18,0.59,0.34,0.48,0.48,0.3,0.54,0.48,0.83,0.51
Aïcha, Aok, Qatar, Defender,0.6,0.54,0.16,0.51,0.74,0.86,0.72,0.73,0.38,0.84
Regina, Arakelyan, Germany, Forward,0.33,0.54,0.7,0.82,0.57,0.31,0.76,0.72,0.78,0.61
Inutsiaq, Araya, Morocco, Midfielder,0.39,0.63,0.6,0.64,0.37,0.33,0.64,0.51,0.91,0.49
Pari, Arias, Portugal, Midfielder,0.42,0.73,0.57,0.52,0.64,0.21,0.4,0.7,0.99,0.47
Stanley, Auer, France, Goal Keeper,0.15,0.61,0.57,0.33,0.83,0.51,0.89,0.23,0.07,0.97
Shu-chuan, Avetisyan, Costa Rica, Midfielder,0.06,0.86,0.7,0.8,0.56,0.38,0.58,0.75,0.82,0.52
Lucás, Avetisyan, USA, Midfielder,0.48,0.77,0.67,0.75,0.38,0.63,0.68,0.59,0.6,0.58
Fahd, Ávila, Cameroon, Defender,0.69,0.67,0.4,0.14,0.64,0.57,0.69,0.37,0.67,0.79
Himari, Ávila, Qatar, Midfielder,0.01,0.81,0.79,0.46,0.38,0.24,0.56,0.79,0.84,0.76
Giulia, Ayala, Saudi Arabia, Defender,0.71,0.7,0.17,0.36,0.66,0.81,0.7,0.36,0.29,0.98
Jonas, Azevedo, Denmark, Forward,0.69,0.64,0.74,0.77,0.55,0.33,0.73,0.82,0.9,0.63
Junior, Bakker, Poland, Forward,0.43,0.67,0.85,0.55,0.21,0.51,0.77,0.51,0.83,0.47
Jacob, Balázs, Portugal, Forward,0.79,0.51,0.64,0.58,0.58,0.64,0.93,0.45,0.9,0.47
Thiago, Balázs, Morocco, Defender,0.85,0.61,0.44,0.2,0.53,0.41,0.79,0.28,0.74,0.85
Yassin, Balogh, Spain, Midfielder,0.4,0.61,0.58,0.42,0.72,0.24,0.97,0.63,0.74,0.51
Adomas, Bandara, Wales, Goal Keeper,0.12,0.61,0.55,0.38,0.92,0.52,0.77,0.37,0.11,0.98
Hassan, Barbosa, South Korea, Defender,0.32,0.61,0.17,0.52,0.56,1.06,0.64,0.57,0.59,0.71
Delfina, Barbosa, Iran, Midfielder,0.99,0.72,0.57,0.39,0.61,0.23,0.51,0.89,0.35,0.72
I-chun, Barišić, Argentina, Forward,0.84,0.67,0.88,0.57,0.43,0.56,0.47,0.41,0.36,0.74
Julija, Barone, Wales, Forward,0.57,0.54,0.59,0.92,0.25,0.77,0.91,0.46,0.49,0.73
Maximiliano, Barone, Saudi Arabia, Forward,0.28,0.69,0.83,0.49,0.35,0.78,0.83,0.46,0.89,0.89
Aruuzat, Barone, Mexico, Midfielder,0.19,0.5,0.75,0.75,0.78,0.41,0.96,0.61,0.89,0.75
Emilia, Battaglia, Morocco, Forward,0.7,0.5,0.75,0.64,0.36,0.49,0.44,0.44,0.8,0.41
Shristi, Battaglia, Brazil, Midfielder,0.71,0.6,0.32,0.35,0.75,0.24,0.77,0.58,0.45,0.56
Eeli, Bektashi, Serbia, Defender,0.2,0.74,0.58,0.53,0.78,0.77,0.72,0.42,0.64,0.56
João Miguel, Bektashi, Spain, Midfielder,0.65,0.75,0.7,0.87,0.33,0.53,0.5,0.56,0.46,0.62
Delfina, Bell, Denmark, Forward,0.9,0.6,0.64,0.43,0.42,0.49,0.48,0.66,0.89,0.46
Bernardo, Bellini, Brazil, Defender,0.64,0.63,0.58,0.36,0.65,0.4,0.48,0.54,0.36,0.74
Prisha, Bellini, France, Midfielder,0.38,0.62,0.66,0.76,0.4,0.72,0.78,0.73,0.92,0.41
Matías, Ben, Portugal, Defender,0.4,0.71,0.34,0.1,0.85,0.98,0.35,0.45,0.63,0.93
Nehir, Ben, Tunisia, Forward,0.04,0.49,0.53,0.79,0.6,0.6,0.98,0.91,0.74,0.7
Himari, Benali, England, Forward,0.97,0.53,0.82,0.83,0.22,0.68,0.51,0.66,0.38,0.49
Ji-yoo, Benali, Argentina, Defender,0.68,0.64,0.57,0.46,0.92,0.3,0.56,0.67,0.75,0.98
Mariami, Benali, Ghana, Goal Keeper,0.08,0.56,0.13,0.23,0.9,0.93,0.88,0.26,0.18,0.82
Kyle, Benedetti, Costa Rica, Forward,0.31,0.51,0.51,0.65,0.25,0.65,0.6,0.81,0.91,0.68
Markas, Bennett, Serbia, Forward,0.09,0.55,0.61,0.58,0.53,0.35,0.44,0.6,0.57,0.71
Paul, Berisha, Cameroon, Forward,0.12,0.46,0.5,0.79,0.52,0.34,0.44,0.87,0.78,0.74
Ha-eun, Berisha, Poland, Forward,0.18,0.44,0.78,0.53,0.56,0.56,0.57,0.76,0.53,0.68
Vusal, Bertrand, Netherlands, Defender,0.09,0.71,0.41,0.45,0.89,0.69,0.34,0.36,0.78,0.93
Nurislam, Bertrand, Ecuador, Midfielder,0.82,0.69,0.62,0.78,0.33,0.48,0.77,0.67,0.97,0.71
Martina, Bianchi, Spain, Defender,0.63,0.88,0.27,0.09,0.52,0.77,0.84,0.61,0.39,0.96
Yusuf, Binder, Portugal, Forward,0.16,0.51,0.76,0.95,0.63,0.42,0.88,0.88,0.99,0.55
María Teresa, Bonnet, South Korea, Midfielder,0.64,0.67,0.74,0.73,0.64,0.71,0.78,0.79,0.36,0.55
Jade, Bonnet, Qatar, Forward,0.52,0.67,0.78,0.95,0.37,0.48,0.64,0.73,0.78,0.89
Dominykas, Bošnjak, South Korea, Midfielder,0.56,0.69,0.79,0.7,0.34,0.65,0.69,0.97,0.57,0.66
Martina, Bošnjak, Australia, Midfielder,0.54,0.84,0.47,0.85,0.43,0.76,0.62,0.5,0.47,0.44
Yasmin, Božič, Qatar, Midfielder,0.83,0.55,0.7,0.69,0.51,0.29,0.64,0.76,0.41,0.65
Snezana, Božič, Ecuador, Midfielder,0.54,0.61,0.65,0.72,0.41,0.41,0.54,0.96,0.55,0.42
Amal, Brunner, Belgium, Defender,0.91,0.63,0.54,0.26,0.98,0.44,0.36,0.38,0.13,0.7
Aiden, Bruno, Portugal, Forward,0.22,0.57,0.77,0.97,0.56,0.74,0.87,0.87,0.34,0.59
Daniil, Bruno, Japan, Forward,0.58,0.65,0.71,0.63,0.29,0.52,0.48,0.76,0.62,0.52
Maui, Bruno, Belgium, Goal Keeper,0.23,0.76,0.49,0.26,0.87,0.82,0.66,0.22,0.06,0.93
Paraskevi, Butler, Costa Rica, Defender,0.82,0.79,0.23,0.04,0.72,0.91,0.76,0.37,0.72,0.73
Rita, Cabrera, Iran, Goal Keeper,0.43,0.69,0.38,0.2,0.81,0.96,0.85,0.27,0.18,0.94
Ahmet, Cabrera, Qatar, Forward,0.51,0.56,0.78,0.81,0.37,0.63,0.77,0.73,0.75,0.56
Michail, Calderón, Poland, Forward,0.31,0.55,0.53,0.61,0.66,0.43,0.92,0.62,0.8,0.84
Sebastián, Calderón, Germany, Midfielder,0.39,0.52,0.63,0.43,0.65,0.56,0.47,0.67,0.81,0.63
Nazanin-Zahra, Camacho, Ghana, Goal Keeper,0.71,0.64,0.29,0.31,0.77,0.75,0.89,0.21,0.0,0.99
Agnes, Camacho, Denmark, Forward,0.86,0.53,0.56,0.44,0.4,0.37,0.96,0.63,0.89,0.53
Siti, Campos, Portugal, Midfielder,0.07,0.8,0.3,0.35,0.54,0.37,0.71,0.89,0.61,0.53
Jake, Carbone, Uruguay, Defender,0.35,0.51,0.24,0.49,0.63,0.67,0.85,0.22,0.67,0.85
Sobia, Cardoso, Switzerland, Midfielder,0.75,0.77,0.38,0.4,0.56,0.33,0.45,0.77,0.72,0.49
Izaro, Carrillo, England, Midfielder,0.21,0.78,0.42,0.59,0.5,0.54,0.81,0.52,0.31,0.57
Emiliano, Carrillo, Denmark, Defender,0.01,0.59,0.49,0.12,0.63,0.99,0.41,0.53,0.55,0.79
Mirlande, Carter, Denmark, Midfielder,0.34,0.67,0.79,0.4,0.5,0.73,0.82,0.74,0.96,0.85
Marcell, Caruso, Wales, Forward,0.2,0.6,0.68,0.41,0.34,0.43,0.73,0.59,0.63,0.49
Alma, Caruso, Qatar, Forward,0.24,0.49,0.53,0.86,0.65,0.53,0.41,0.63,0.58,0.66
Julie, Caruso, Ghana, Midfielder,0.08,0.5,0.76,0.58,0.58,0.56,0.94,0.48,0.59,0.7
Tunar, Castañeda, Switzerland, Forward,0.99,0.69,0.82,0.94,0.24,0.64,0.44,0.65,0.83,0.53
Jóhann, Castelli, Qatar, Forward,0.15,0.43,0.52,0.81,0.32,0.74,0.42,0.83,0.48,0.74
Indira, Čengić, Portugal, Defender,0.86,0.75,0.21,0.27,0.65,1.04,0.84,0.22,0.51,0.54
María del Carmen, Cervantes, Ghana, Defender,0.18,0.69,0.41,0.27,0.87,0.73,0.81,0.24,0.35,0.64
Maui, Chang, Argentina, Forward,0.95,0.43,0.5,0.63,0.46,0.76,0.84,0.44,0.85,0.57
Théa, Cheam, Brazil, Forward,0.51,0.47,0.77,0.67,0.46,0.32,0.64,0.79,0.45,0.59
Sevinj, Cheng, Croatia, Goal Keeper,0.0,0.74,0.54,0.3,0.92,0.53,0.75,0.2,0.11,0.87
Arman, Cheng, Mexico, Midfielder,0.25,0.84,0.5,0.84,0.75,0.32,0.8,0.44,0.89,0.44
Alexandra, Cheon, Iran, Defender,0.54,0.81,0.22,0.48,0.54,0.57,0.46,0.62,0.47,0.84
Trinidad, Cheung, Saudi Arabia, Midfielder,0.81,0.58,0.71,0.67,0.53,0.27,0.85,0.84,0.73,0.59
Ajla, Chey, France, Goal Keeper,0.0,0.64,0.4,0.31,0.97,0.71,0.79,0.24,0.17,0.86
Baran, Chhem, Canada, Defender,0.5,0.55,0.57,0.44,0.52,0.71,0.79,0.63,0.38,0.72
Emilia, Chhet, Netherlands, Forward,0.49,0.5,0.66,0.96,0.27,0.42,0.84,0.89,0.69,0.5
Samuel, Chhim, Switzerland, Goal Keeper,0.87,0.62,0.5,0.26,0.7,0.93,0.77,0.2,0.11,0.87
Moussa, Chhim, Belgium, Defender,0.54,0.67,0.29,0.35,0.96,0.84,0.67,0.62,0.22,0.97
Vugar, Chhit, Saudi Arabia, Forward,0.23,0.5,0.56,0.98,0.39,0.75,0.42,0.66,0.61,0.52
Alma, Chhorn, Wales, Forward,0.18,0.57,0.57,0.69,0.67,0.59,0.8,0.5,0.67,0.41
Lisakhanya, Chhorn, South Korea, Goal Keeper,0.36,0.77,0.29,0.3,0.91,0.73,0.79,0.33,0.19,0.94
Rishaan, Chhorn, Uruguay, Forward,0.47,0.48,0.56,0.57,0.69,0.52,0.55,0.56,0.98,0.82
Heitor, Chim, Qatar, Defender,0.28,0.74,0.11,0.46,0.95,0.94,0.67,0.77,0.48,0.63
Arman, Cho, South Korea, Midfielder,0.51,0.52,0.78,0.43,0.53,0.72,0.87,0.63,0.95,0.57
Leia, Cho, Croatia, Defender,0.33,0.87,0.54,0.23,0.84,0.44,0.88,0.75,0.78,0.5
Angelo, Choe, Costa Rica, Forward,0.37,0.69,0.81,0.84,0.52,0.67,0.74,0.62,0.46,0.82
Dušan, Choe, Morocco, Defender,0.98,0.71,0.4,0.0,0.94,0.98,0.42,0.61,0.65,0.74
Mohammed, Choe, Iran, Forward,0.68,0.62,0.79,0.56,0.61,0.37,0.83,0.79,0.32,0.88
Mustafa, Choe, Mexico, Forward,0.81,0.54,0.74,0.45,0.57,0.67,0.76,0.49,0.46,0.46
Juana, Choi, Switzerland, Midfielder,0.7,0.53,0.79,0.46,0.49,0.27,0.98,0.65,0.75,0.81
Ámbar, Chu, Qatar, Goal Keeper,0.72,0.52,0.42,0.32,0.83,0.99,0.69,0.39,0.14,0.91
Keven, Claes, Argentina, Midfielder,0.45,0.86,0.72,0.36,0.54,0.58,0.58,0.86,0.52,0.51
Somayyeh, Claes, Mexico, Forward,0.81,0.43,0.8,0.94,0.26,0.31,0.83,0.51,0.75,0.41
Tunar, Coelho, Belgium, Midfielder,0.54,0.8,0.55,0.61,0.54,0.27,0.56,0.94,0.75,0.45
Gunay, Coelho, Senegal, Forward,0.36,0.5,0.73,0.97,0.5,0.79,0.44,0.64,0.79,0.87
Biel, Collins, Iran, Forward,0.71,0.56,0.73,0.74,0.39,0.33,0.72,0.83,0.59,0.79
Ida, Colombo, France, Forward,0.25,0.57,0.66,0.73,0.62,0.55,0.57,0.97,0.6,0.71
Pol, Colombo, Ghana, Midfielder,0.04,0.65,0.76,0.39,0.57,0.72,0.81,0.84,0.83,0.86
Aleksandre, Colombo, Spain, Midfielder,0.56,0.58,0.51,0.76,0.55,0.53,0.95,0.99,0.81,0.5
Malek, Conti, Canada, Defender,0.29,0.81,0.36,0.43,0.82,0.75,0.41,0.37,0.54,0.79
Noah, Conti, Senegal, Midfielder,0.33,0.85,0.42,0.31,0.68,0.23,0.77,0.4,0.95,0.51
Ji-woo, Contreras, Costa Rica, Midfielder,0.36,0.68,0.55,0.85,0.79,0.64,0.45,0.93,0.36,0.41
Hosniya, Contreras, Morocco, Midfielder,0.26,0.5,0.33,0.88,0.51,0.35,0.64,0.44,0.36,0.58
Angelo, Cooper, Denmark, Forward,0.0,0.67,0.82,0.79,0.4,0.39,0.49,0.51,0.31,0.58
Nicole, Correia, Canada, Forward,0.63,0.47,0.75,0.76,0.4,0.69,0.81,0.85,0.81,0.46
Fatoumata, Costa, Saudi Arabia, Forward,0.97,0.69,0.52,0.7,0.62,0.54,0.81,0.62,0.51,0.72
Mariya, Cruz, Iran, Forward,0.93,0.67,0.79,0.63,0.39,0.71,0.98,0.61,0.79,0.7
Sobia, Cunha, Qatar, Forward,0.84,0.65,0.69,0.83,0.32,0.68,0.84,0.59,0.57,0.57
Bader, Cunha, USA, Defender,0.52,0.66,0.47,0.03,0.6,0.93,0.55,0.28,0.67,0.98
Elizabeth, D'Agostino, Iran, Midfielder,0.84,0.76,0.61,0.87,0.6,0.77,0.87,0.62,0.59,0.62
Anahit, D'Amico, Germany, Midfielder,0.87,0.6,0.62,0.87,0.47,0.31,0.59,0.5,0.93,0.84
Ayalah, D'Angelo, England, Defender,0.87,0.86,0.28,0.35,0.89,0.65,0.81,0.54,0.58,0.8
Viktorija, D'Angelo, Croatia, Defender,0.35,0.54,0.3,0.43,0.58,0.3,0.68,0.36,0.63,0.97
Julie, Dąbrowski, Tunisia, Defender,0.03,0.7,0.33,0.22,0.81,0.72,0.33,0.61,0.72,0.62
Khawla, Davis, USA, Forward,0.45,0.55,0.88,0.94,0.2,0.38,0.99,0.91,0.98,0.89
Jan, De Boer, Poland, Forward,0.76,0.45,0.65,0.55,0.46,0.47,0.51,0.59,0.9,0.45
Karl, De Graaf, Morocco, Defender,0.28,0.69,0.36,0.43,0.78,0.54,0.49,0.4,0.54,0.65
Amira, De Jong, Spain, Defender,0.28,0.85,0.36,0.58,0.67,0.67,0.59,0.53,0.64,0.86
Tommaso, De Jong, Germany, Forward,0.72,0.56,0.75,0.72,0.37,0.48,0.56,0.88,0.61,0.58
Julianne, De Luca, Germany, Goal Keeper,0.16,0.62,0.35,0.31,0.72,0.79,0.76,0.31,0.1,0.88
Charles, De Rosa, Australia, Forward,0.9,0.54,0.68,0.65,0.41,0.71,0.93,0.52,0.37,0.53
Moana, De Santis, Ghana, Midfielder,0.66,0.5,0.41,0.65,0.63,0.6,0.49,0.79,0.92,0.71
Adam, De Smet, Japan, Defender,0.53,0.83,0.13,0.51,0.56,1.07,0.7,0.3,0.33,0.66
Lile, De Wit, Japan, Defender,0.96,0.81,0.34,0.16,0.9,0.31,0.71,0.74,0.17,0.58
Melissa, Delemović, Iran, Defender,0.12,0.67,0.43,0.16,0.62,0.49,0.42,0.4,0.2,0.6
Zoe, Delgado, Portugal, Goal Keeper,0.99,0.83,0.44,0.3,0.81,0.71,0.74,0.37,0.02,0.81
Siti, Delić, Qatar, Defender,0.72,0.78,0.47,0.03,0.97,0.35,0.39,0.5,0.28,0.53
Óliver, Delić, Japan, Midfielder,0.8,0.62,0.54,0.78,0.47,0.64,0.59,0.91,0.54,0.85
Karam, Delvina, Iran, Defender,0.33,0.75,0.42,0.04,0.93,0.64,0.74,0.61,0.76,0.65
Arianna, Delvina, Iran, Midfielder,0.88,0.74,0.42,0.38,0.61,0.73,0.64,0.72,0.47,0.49
Sebastián, Devi, Cameroon, Defender,0.49,0.83,0.36,0.59,0.56,0.38,0.5,0.49,0.69,0.59
Marcell, Devi, Poland, Forward,0.37,0.56,0.83,0.77,0.51,0.64,0.42,0.83,0.96,0.58
Aino, Devi, Ecuador, Forward,0.47,0.56,0.83,0.61,0.42,0.32,0.81,0.7,0.42,0.4
Elshan, Di Stefano, Canada, Forward,0.64,0.46,0.84,0.67,0.48,0.41,0.41,0.65,0.89,0.71
Aarav, Di Stefano, Mexico, Defender,0.42,0.71,0.38,0.45,0.63,1.09,0.77,0.69,0.4,0.81
Suha, Dias, Ecuador, Midfielder,0.62,0.62,0.46,0.81,0.48,0.46,0.69,0.85,0.32,0.61
Matilde, Diaz, Wales, Defender,0.92,0.7,0.56,0.54,0.73,1.07,0.38,0.57,0.47,0.54
Asmita, Diaz, Morocco, Defender,0.05,0.62,0.55,0.05,0.88,0.97,0.3,0.61,0.16,0.88
AbulFazl, Díaz, Wales, Midfielder,0.63,0.63,0.44,0.88,0.66,0.29,0.59,0.77,0.78,0.57
Farah, Díaz, Belgium, Midfielder,0.66,0.71,0.47,0.55,0.56,0.57,0.75,0.89,0.43,0.62
August, Dijkstra, Belgium, Defender,0.71,0.73,0.21,0.16,0.99,0.59,0.46,0.7,0.77,0.87
Nina, Din, Tunisia, Defender,0.2,0.74,0.13,0.54,0.61,0.44,0.49,0.56,0.23,0.86
Daria, Din, Ghana, Forward,0.65,0.62,0.58,0.63,0.53,0.68,0.43,0.56,0.8,0.48
Nicolás, Domínguez, USA, Defender,0.12,0.5,0.34,0.59,0.64,0.97,0.81,0.49,0.11,0.71
Klea, Doyle, Portugal, Midfielder,0.01,0.76,0.4,0.73,0.54,0.47,0.57,0.87,0.96,0.5
Zahid, Doyle, Qatar, Goal Keeper,0.5,0.52,0.41,0.34,0.7,0.33,0.83,0.22,0.18,0.88
Duarte, Doyle, France, Defender,0.94,0.88,0.54,0.32,0.75,0.92,0.62,0.56,0.25,0.86
Hessa, Dul, South Korea, Goal Keeper,0.45,0.82,0.22,0.2,0.74,0.88,0.62,0.36,0.1,0.92
Alicja, Dumont, Denmark, Defender,0.66,0.83,0.36,0.17,0.89,0.35,0.72,0.33,0.54,0.76
Elise, Duong, Brazil, Forward,0.22,0.45,0.65,0.8,0.43,0.74,0.67,0.54,0.84,0.4
Leonor, Duong, Belgium, Forward,0.25,0.56,0.74,0.6,0.45,0.42,0.4,0.58,0.92,0.4
Kairo, Dupont, Japan, Forward,0.44,0.53,0.56,0.46,0.64,0.56,0.53,0.57,0.45,0.52
Nilay, Eav, Qatar, Defender,0.07,0.71,0.14,0.5,0.81,1.07,0.32,0.31,0.71,0.56
Harraz, Eav, Argentina, Forward,0.07,0.52,0.54,0.85,0.45,0.5,0.64,0.85,0.76,0.54
María Teresa, Eaw, Serbia, Goal Keeper,0.57,0.63,0.33,0.37,0.9,0.95,0.66,0.32,0.11,0.9
Lorenzo, Ebner, Uruguay, Forward,0.66,0.66,0.52,0.65,0.24,0.39,0.94,0.92,0.35,0.72
Ariel, Ebner, Switzerland, Goal Keeper,0.48,0.69,0.22,0.28,0.92,0.46,0.77,0.33,0.14,0.98
Amahle, Eder, Saudi Arabia, Defender,0.62,0.56,0.38,0.28,0.88,0.34,0.83,0.49,0.5,0.61
Mikaere, Edirisinghe, Qatar, Forward,0.66,0.41,0.88,0.7,0.54,0.42,0.45,0.51,0.98,0.5
Yehuda, Edirisinghe, Brazil, Defender,0.09,0.88,0.58,0.51,0.67,0.84,0.37,0.58,0.13,0.71
Christian, Edirisinghe, Germany, Goal Keeper,0.0,0.88,0.13,0.36,0.84,0.79,0.42,0.37,0.08,0.88
June, Egger, France, Defender,0.93,0.87,0.4,0.38,0.66,1.0,0.56,0.4,0.48,0.64
Wen-Hsiung, Egger, Japan, Defender,0.7,0.86,0.36,0.49,0.72,0.79,0.86,0.23,0.69,0.8
Manish, Ekanayake, Poland, Forward,0.35,0.65,0.74,0.65,0.36,0.74,0.62,0.88,0.71,0.4
Henry, Ekanayake, Mexico, Defender,0.73,0.73,0.36,0.17,0.61,0.5,0.81,0.41,0.49,0.96
Hosniya, Espinoza, Serbia, Midfielder,0.76,0.73,0.64,0.72,0.3,0.42,0.68,0.63,0.48,0.69
Léon, Espinoza, Argentina, Forward,0.57,0.5,0.82,0.92,0.6,0.44,0.66,0.88,0.44,0.7
Sumayah, Fabbri, Argentina, Midfielder,0.6,0.57,0.33,0.81,0.69,0.34,0.79,0.79,0.68,0.71
Emely, Farina, England, Midfielder,0.3,0.81,0.57,0.46,0.72,0.67,0.71,0.45,0.35,0.72
Esma, Farina, Costa Rica, Defender,0.11,0.55,0.44,0.56,0.9,0.68,0.34,0.69,0.73,0.53
Sakineh, Farina, Japan, Forward,0.58,0.47,0.59,0.69,0.38,0.43,0.56,0.42,0.99,0.71
Ian, Fehér, Australia, Defender,0.99,0.64,0.54,0.07,0.71,1.04,0.41,0.75,0.18,0.7
Aysel, Fekete, Australia, Defender,0.37,0.68,0.35,0.59,0.75,0.63,0.82,0.53,0.48,0.6
Wen-Hsiung, Fernandes, Iran, Defender,0.84,0.78,0.57,0.05,0.76,0.92,0.43,0.65,0.58,0.82
Alma, Fernández, Belgium, Goal Keeper,0.44,0.76,0.55,0.23,0.74,0.73,0.91,0.22,0.18,0.94
Dylan, Fernando, Germany, Forward,0.32,0.52,0.6,0.7,0.2,0.77,0.72,0.47,0.58,0.4
Princess, Ferrara, Morocco, Forward,0.28,0.51,0.63,0.85,0.64,0.37,0.69,0.72,0.84,0.74
Yasmine, Ferrara, Serbia, Midfielder,0.79,0.77,0.51,0.63,0.3,0.63,0.94,0.59,0.95,0.82
