First Name,Surname,Team,Position,Fitness,Passing accuracy,Shot accuracy,Shot frequency,Defensiveness,Agression,Position,Dribbling,Chance Creation,Offside adherence
Bakary, Ferrara, France, Forward,0.49,0.59,0.78,0.9,0.49,0.55,0.6,0.68,0.4,0.87
Francisca, Ferraro, Spain, Forward,0.8,0.44,0.78,0.57,0.52,0.76,0.85,0.85,0.69,0.58
Farrah, Ferreira, Mexico, Goal Keeper,0.55,0.58,0.5,0.22,0.76,0.46,0.85,0.31,0.09,0.96
Keanu, Ferretti, Cameroon, Forward,0.99,0.47,0.76,0.81,0.24,0.75,0.68,0.73,0.59,0.64
Aasha, Ferreyra, Ghana, Defender,0.58,0.61,0.43,0.31,0.72,0.99,0.83,0.24,0.53,0.79
César, Ferreyra, Switzerland, Midfielder,0.96,0.76,0.36,0.68,0.77,0.53,0.91,0.74,0.62,0.47
Bibek, Ferri, Brazil, Midfielder,0.0,0.57,0.75,0.76,0.46,0.66,0.79,0.61,0.52,0.53
Halim, Figueiredo, Ghana, Defender,0.81,0.84,0.17,0.14,0.98,0.43,0.67,0.55,0.1,0.62
Ammar, Figueroa, Portugal, Defender,0.39,0.64,0.14,0.07,0.53,0.77,0.86,0.28,0.48,0.53
Sevda, Figueroa, Portugal, Defender,0.32,0.72,0.31,0.48,0.61,0.46,0.63,0.5,0.16,0.89
Yuina, Figueroa, Croatia, Midfielder,0.35,0.76,0.53,0.63,0.39,0.67,0.86,0.67,0.74,0.51
Jovana, Figueroa, Switzerland, Forward,0.3,0.52,0.85,0.78,0.39,0.64,0.58,0.73,0.75,0.52
Klara, Fiore, Qatar, Midfielder,0.93,0.66,0.3,0.57,0.72,0.57,0.77,0.99,0.42,0.69
Manish, Fontana, Serbia, Midfielder,0.62,0.75,0.79,0.88,0.47,0.54,0.66,0.8,0.61,0.5
Freja, Franco, Iran, Forward,0.61,0.69,0.64,0.95,0.37,0.37,0.7,0.76,0.9,0.7
Isabelle, Frashëri, Netherlands, Defender,0.18,0.85,0.43,0.16,0.67,0.54,0.51,0.71,0.18,0.66
Jonas, Freitas, Iran, Goal Keeper,0.6,0.86,0.58,0.22,0.71,0.91,0.86,0.27,0.0,0.93
Abdulrahman, Fuentes, Ghana, Defender,0.54,0.74,0.45,0.0,0.58,0.34,0.63,0.4,0.49,0.77
Vita, Gál, Costa Rica, Goal Keeper,0.69,0.52,0.11,0.28,0.73,0.68,0.91,0.35,0.02,0.94
Ulloriaq, Gallagher, Ghana, Forward,0.9,0.52,0.67,0.93,0.28,0.57,0.6,0.64,0.47,0.55
Julen, Galli, Wales, Defender,0.57,0.61,0.3,0.43,0.86,0.3,0.33,0.29,0.7,0.76
Oyunbileg, Gallo, France, Defender,0.47,0.8,0.4,0.26,0.67,0.53,0.75,0.75,0.38,0.99
Izaro, Gallo, USA, Forward,0.16,0.5,0.6,0.52,0.66,0.34,0.52,0.56,0.62,0.85
Jovana, Gamage, Senegal, Defender,0.86,0.58,0.22,0.55,0.8,1.01,0.75,0.26,0.46,0.88
Abubakr, Garcia, Cameroon, Goal Keeper,0.77,0.68,0.2,0.39,0.91,0.42,0.55,0.35,0.07,0.8
Julieta, Garcia, Portugal, Forward,0.17,0.51,0.71,0.93,0.37,0.37,0.83,0.41,0.92,0.57
Artem, Garcia, France, Defender,0.73,0.52,0.47,0.33,0.54,0.51,0.45,0.57,0.38,0.72
Eymen, Garcia, Croatia, Defender,0.42,0.74,0.21,0.19,0.81,0.9,0.35,0.31,0.74,0.65
Elnur, Garcia, Spain, Midfielder,0.9,0.77,0.36,0.57,0.35,0.66,0.64,0.99,0.83,0.72
Mersana, Garcia, Denmark, Defender,0.36,0.78,0.33,0.18,0.81,0.41,0.37,0.39,0.49,0.55
Simona, García, Senegal, Defender,0.36,0.76,0.42,0.11,0.75,0.46,0.75,0.22,0.43,0.86
Farida, Garza, Argentina, Defender,0.32,0.87,0.28,0.02,0.8,0.43,0.81,0.67,0.12,0.89
Victor, Gashi, USA, Defender,0.34,0.59,0.19,0.24,0.82,0.8,0.33,0.43,0.11,0.74
Maja, Gatti, England, Defender,0.72,0.89,0.13,0.16,0.64,0.76,0.64,0.7,0.63,0.73
Harun, Gegaj, England, Forward,0.66,0.69,0.78,0.86,0.28,0.55,0.77,0.43,0.36,0.79
Şerife, Gegaj, Denmark, Goal Keeper,0.18,0.68,0.44,0.22,0.96,0.94,0.51,0.25,0.07,0.99
Ciro, Ghang, Serbia, Forward,0.65,0.45,0.63,0.43,0.49,0.45,0.49,0.59,0.73,0.68
Martina, Ghazaryan, Argentina, Midfielder,0.95,0.63,0.53,0.77,0.79,0.25,0.53,0.5,0.55,0.4
Ali-Reza, Ghim, Germany, Defender,0.85,0.85,0.14,0.42,0.89,0.43,0.79,0.2,0.37,0.88
Ayabonga, Gil, Iran, Goal Keeper,0.01,0.82,0.36,0.28,0.78,0.88,0.96,0.2,0.15,0.8
Mirjana, Gil, Spain, Forward,0.99,0.58,0.65,0.58,0.58,0.71,0.65,0.83,0.71,0.7
Filip, Giménez, Morocco, Forward,0.93,0.44,0.56,0.67,0.62,0.42,0.96,0.7,0.99,0.6
Sumayah, Giménez, Mexico, Defender,0.36,0.6,0.24,0.19,0.91,1.03,0.4,0.62,0.37,0.81
Maeva, Giordano, Cameroon, Midfielder,0.94,0.52,0.38,0.46,0.35,0.33,0.7,0.51,0.89,0.72
Relja, Girard, Tunisia, Midfielder,0.47,0.67,0.51,0.87,0.74,0.31,0.7,0.79,0.63,0.64
Isak, Giuliani, Cameroon, Goal Keeper,0.96,0.5,0.24,0.22,0.88,0.88,0.95,0.32,0.12,0.98
Narine, Giuliani, Cameroon, Midfielder,0.12,0.52,0.79,0.32,0.64,0.57,0.81,0.96,0.52,0.48
Ámbar, Giuliani, Ecuador, Defender,0.29,0.81,0.53,0.3,0.51,0.82,0.6,0.66,0.61,0.53
Leyla, Gjonaj, Uruguay, Defender,0.3,0.89,0.49,0.23,0.98,1.08,0.82,0.47,0.51,0.91
Fadi, Golob, Poland, Defender,0.46,0.83,0.5,0.32,0.72,0.34,0.57,0.61,0.56,0.57
Imene, Gomes, Argentina, Defender,0.71,0.77,0.55,0.51,0.64,1.06,0.59,0.41,0.43,0.73
Stefan, Gomez, South Korea, Forward,0.38,0.59,0.59,0.74,0.39,0.39,0.91,0.71,0.37,0.43
Bernardo, Gonçalves, Croatia, Midfielder,0.83,0.65,0.42,0.52,0.38,0.68,0.55,0.9,0.9,0.77
Demetre, Grabowski, Brazil, Defender,0.97,0.79,0.17,0.36,0.71,0.77,0.48,0.6,0.67,0.89
Tereza, Grabowski, Senegal, Midfielder,0.7,0.89,0.71,0.81,0.45,0.69,0.93,0.8,0.9,0.89
Markas, Grassi, England, Defender,0.99,0.69,0.3,0.06,0.79,0.97,0.67,0.2,0.34,0.97
Ezekiel, Gray, Uruguay, Midfielder,0.48,0.77,0.34,0.89,0.52,0.59,0.9,0.79,0.68,0.61
Luca, Greco, Netherlands, Defender,0.71,0.81,0.12,0.22,0.88,0.46,0.88,0.32,0.41,0.75
Mateo, Greco, Tunisia, Forward,0.64,0.5,0.69,0.53,0.35,0.42,0.89,0.78,0.7,0.67
Paneeraq, Greco, Croatia, Defender,0.5,0.84,0.15,0.47,0.86,0.63,0.79,0.67,0.22,0.85
Olivia, Grgić, Argentina, Goal Keeper,0.25,0.61,0.29,0.34,0.79,0.72,0.51,0.3,0.04,0.93
Asahi, Grigoryan, Canada, Defender,0.68,0.6,0.3,0.37,0.5,0.71,0.88,0.54,0.35,0.87
Alikhan, Guerra, Saudi Arabia, Goal Keeper,0.02,0.53,0.28,0.25,0.99,0.43,0.9,0.23,0.17,0.82
Bára, Guerrero, Switzerland, Forward,0.15,0.63,0.59,0.77,0.24,0.77,0.6,0.6,0.37,0.55
Athanasios, Guliyev, France, Midfielder,0.04,0.56,0.32,0.75,0.77,0.4,0.94,0.41,0.51,0.78
Dimitra, Guliyev, Uruguay, Defender,0.59,0.68,0.54,0.43,0.6,0.74,0.45,0.69,0.18,0.5
Pedro, Gunawardana, Japan, Goal Keeper,0.29,0.86,0.56,0.27,0.72,0.71,0.77,0.2,0.08,0.95
Defne, Gunawardena, Iran, Defender,0.62,0.67,0.57,0.08,0.68,0.97,0.53,0.75,0.18,0.98
Lilly, Guō, Switzerland, Midfielder,0.07,0.8,0.55,0.41,0.44,0.66,0.81,0.87,0.33,0.47
Do-yun, Gutierrez, France, Goal Keeper,0.32,0.59,0.4,0.26,0.91,0.95,0.84,0.29,0.03,0.96
Beatriz, Gutiérrez, Ecuador, Forward,0.03,0.4,0.65,0.7,0.21,0.41,0.49,0.59,0.75,0.59
Gita, Gutiérrez, Canada, Midfielder,0.41,0.5,0.64,0.37,0.41,0.42,0.81,0.58,0.37,0.58
Aiden, Halili, Serbia, Defender,0.83,0.84,0.47,0.33,0.87,0.31,0.79,0.46,0.52,0.56
Zofia, Halili, Ecuador, Goal Keeper,0.04,0.74,0.48,0.31,0.92,0.66,0.6,0.25,0.01,0.84
Goran, Harutyunyan, USA, Defender,0.2,0.56,0.18,0.02,0.64,0.57,0.49,0.57,0.79,0.98
Elizabeth, Hasani, Wales, Goal Keeper,0.03,0.88,0.57,0.26,0.92,0.8,0.91,0.32,0.19,0.86
Shayma, Hasani, Portugal, Defender,0.76,0.78,0.16,0.27,0.75,0.97,0.7,0.77,0.23,0.82
Ginevra, Hasani, Australia, Defender,0.29,0.6,0.42,0.51,0.72,1.01,0.57,0.56,0.29,0.95
Ye-jun, Hasanov, Serbia, Forward,0.21,0.68,0.74,0.72,0.5,0.63,0.63,0.69,0.9,0.64
Jovan, Hasanović, Canada, Forward,0.71,0.64,0.52,0.76,0.32,0.38,0.83,0.83,0.35,0.64
Relja, Hé, Ecuador, Midfielder,0.19,0.58,0.64,0.5,0.72,0.52,0.62,0.58,0.73,0.87
Sofiya, Hé, Japan, Forward,0.55,0.61,0.7,0.74,0.29,0.73,0.49,0.52,0.3,0.76
Jessica, Hé, Ghana, Defender,0.37,0.69,0.36,0.55,0.55,0.68,0.58,0.68,0.62,0.7
Ye-jun, Hendriks, Qatar, Forward,0.04,0.58,0.68,0.42,0.37,0.32,0.87,0.82,0.89,0.68
Adam, Hendriks, Mexico, Forward,0.9,0.43,0.74,0.95,0.38,0.75,0.84,0.66,0.38,0.83
Kairo, Hill, Croatia, Midfielder,0.07,0.55,0.55,0.65,0.67,0.53,0.5,0.97,0.92,0.88
Keven, Hodžić, France, Midfielder,0.35,0.63,0.66,0.76,0.31,0.27,0.48,0.73,0.9,0.41
An, Hodžić, Mexico, Midfielder,0.39,0.53,0.52,0.63,0.41,0.33,0.86,0.99,0.89,0.46
Lile, Hoffmann, USA, Forward,0.7,0.67,0.7,0.63,0.44,0.78,0.54,0.63,0.73,0.48
Michail, Horvat, Belgium, Forward,0.12,0.62,0.65,0.52,0.62,0.44,0.94,0.89,0.49,0.89
Shahem, Horváth, Spain, Forward,0.43,0.5,0.7,0.6,0.55,0.36,0.57,0.7,0.82,0.68
Karen, Hossain, Ecuador, Forward,0.51,0.52,0.74,0.79,0.61,0.52,0.78,0.9,0.81,0.51
Emīls, Hovhannisyan, Croatia, Forward,0.21,0.47,0.89,0.82,0.21,0.69,0.97,0.76,0.66,0.64
Sumayah, Hu, Netherlands, Defender,0.19,0.73,0.21,0.2,0.73,0.68,0.47,0.51,0.68,0.89
Chien-hung, Hu, Croatia, Midfielder,0.8,0.54,0.43,0.45,0.64,0.49,0.99,0.47,0.32,0.49
Francisca, Hu, Ghana, Midfielder,0.78,0.81,0.32,0.56,0.58,0.74,0.59,0.87,0.71,0.88
Goran, Hú, Netherlands, Defender,0.15,0.5,0.1,0.12,0.84,0.69,0.62,0.79,0.51,0.7
Chien-hung, Huang, Japan, Forward,0.17,0.44,0.72,0.79,0.38,0.37,0.75,0.91,0.43,0.55
Frans, Huáng, Tunisia, Defender,0.78,0.74,0.41,0.0,0.63,0.7,0.4,0.63,0.17,0.68
Natália, Hughes, Switzerland, Forward,0.9,0.46,0.61,0.59,0.65,0.5,0.72,0.97,0.54,0.4
Alexandra, Hughes, Spain, Goal Keeper,0.63,0.88,0.53,0.21,0.93,0.47,0.82,0.36,0.07,0.86
Rethabile, Huseynov, Denmark, Goal Keeper,0.07,0.59,0.1,0.23,0.75,0.31,0.52,0.23,0.07,0.86
Mariami, Hwang, Ecuador, Forward,0.72,0.58,0.73,0.56,0.24,0.53,0.77,0.83,0.97,0.86
Aarav, Iam, Iran, Midfielder,0.74,0.77,0.6,0.77,0.79,0.69,0.99,0.81,0.61,0.72
Puteri, Ibarra, Argentina, Midfielder,0.93,0.51,0.38,0.49,0.37,0.63,0.89,0.73,0.52,0.61
Rabina, Iem, England, Defender,0.91,0.71,0.28,0.56,0.52,0.82,0.65,0.6,0.33,0.88
Elise, Iglesias, South Korea, Defender,0.49,0.67,0.52,0.02,0.6,0.62,0.41,0.77,0.48,0.96
Hana, Iglesias, France, Defender,0.47,0.75,0.16,0.35,0.78,0.65,0.31,0.52,0.68,0.96
Khawla, Iglesias, Denmark, Defender,0.77,0.63,0.4,0.59,0.83,0.56,0.6,0.64,0.66,0.99
Karitas, Im, Tunisia, Midfielder,0.61,0.52,0.63,0.6,0.51,0.22,0.44,0.56,0.52,0.54
Mía, Im, Senegal, Defender,0.49,0.85,0.18,0.01,0.56,0.38,0.45,0.75,0.14,0.53
Chien-hung, Iv, Brazil, Midfielder,0.92,0.6,0.65,0.34,0.67,0.41,0.83,0.74,0.54,0.51
Halim, Iv, Tunisia, Midfielder,0.54,0.56,0.32,0.57,0.66,0.48,0.5,0.68,0.55,0.44
Tunar, Jackson, England, Forward,0.36,0.47,0.67,0.97,0.41,0.33,0.64,0.65,0.9,0.85
Lourenço, Jackson, Germany, Midfielder,0.85,0.68,0.63,0.33,0.41,0.49,0.67,0.58,0.98,0.59
Luis, Jacobs, Switzerland, Midfielder,0.09,0.77,0.5,0.67,0.49,0.26,0.58,0.99,0.66,0.4
Angeliki, Jafarov, Canada, Midfielder,0.55,0.84,0.48,0.74,0.34,0.24,0.62,0.68,0.99,0.88
Emelía, Jan, Mexico, Defender,0.44,0.55,0.23,0.1,0.67,0.97,0.52,0.77,0.14,0.53
Arianna, Jan, Australia, Forward,0.77,0.68,0.77,0.56,0.27,0.35,0.84,0.73,0.77,0.73
Natálie, Jang, Ecuador, Defender,0.78,0.81,0.45,0.26,0.66,0.83,0.88,0.79,0.18,0.62
Hasnaa, Jansen, USA, Goal Keeper,0.49,0.57,0.33,0.32,0.72,0.65,0.76,0.34,0.06,0.97
Asja, Jansen, Japan, Midfielder,0.09,0.73,0.56,0.81,0.35,0.4,0.79,0.61,0.71,0.4
Sobia, Janssen, Morocco, Goal Keeper,0.53,0.59,0.55,0.36,0.85,0.34,0.98,0.31,0.07,0.95
Viktoria, Jayasekara, Netherlands, Goal Keeper,0.42,0.77,0.23,0.25,0.84,0.85,0.61,0.24,0.0,0.99
Beatrice, Jayasekara, Qatar, Midfielder,0.03,0.62,0.39,0.56,0.79,0.59,0.96,0.77,0.97,0.63
Freyja, Jayasinghe, Australia, Forward,0.38,0.51,0.87,0.82,0.4,0.55,0.91,0.78,0.4,0.81
Haruto, Jayasuriya, Costa Rica, Defender,0.06,0.62,0.52,0.58,0.85,0.74,0.37,0.61,0.12,0.92
Heloísa, Jayasuriya, Germany, Midfielder,0.46,0.68,0.38,0.64,0.69,0.5,0.68,0.99,0.35,0.78
Aksel, Jayawardana, Uruguay, Forward,0.59,0.57,0.61,0.7,0.34,0.63,0.79,0.4,0.53,0.61
Jacob, Jayawardana, Ghana, Forward,0.04,0.59,0.62,0.8,0.59,0.72,0.52,0.98,0.94,0.8
Hoda, Jenkins, Spain, Defender,0.64,0.61,0.12,0.01,0.81,0.98,0.81,0.36,0.13,0.84
Leonardo, Jeon, England, Defender,0.11,0.52,0.43,0.16,0.89,0.88,0.34,0.48,0.1,0.69
Milagrosa, Jesus, Ghana, Defender,0.73,0.76,0.15,0.48,0.81,0.86,0.63,0.35,0.19,0.53
Paneeraq, Jiménez, Uruguay, Goal Keeper,0.27,0.61,0.4,0.35,0.99,0.71,0.86,0.25,0.02,0.94
Abdullo, Jo, Morocco, Forward,0.76,0.41,0.6,0.43,0.26,0.53,0.61,0.53,0.89,0.48
Antônia, Jo, Australia, Defender,0.63,0.63,0.42,0.5,0.52,0.44,0.65,0.69,0.49,0.73
Samyar, Joe, Belgium, Midfielder,0.61,0.63,0.47,0.89,0.41,0.49,0.86,0.94,0.55,0.88
Eeli, Johnson, France, Forward,0.09,0.6,0.81,0.57,0.54,0.73,0.86,0.92,0.45,0.44
Melokuhle, Jones, Morocco, Midfielder,0.11,0.84,0.51,0.38,0.71,0.78,0.99,0.86,0.83,0.4
Freddie, Joy, Belgium, Defender,0.11,0.5,0.38,0.4,0.93,0.38,0.56,0.22,0.22,0.71
Fátima, Jun, Tunisia, Forward,0.57,0.56,0.8,0.51,0.65,0.77,0.72,0.63,0.42,0.82
Brianna, Kang, Costa Rica, Midfielder,0.26,0.68,0.55,0.83,0.39,0.23,0.98,0.81,0.56,0.45
Florence, Kang, Ecuador, Goal Keeper,0.19,0.53,0.21,0.25,0.74,0.35,0.86,0.38,0.04,0.82
Aleksandar, Karapetyan, USA, Goal Keeper,0.88,0.54,0.42,0.24,0.7,0.98,0.89,0.21,0.04,0.99
Vita, Kastelic, Serbia, Goal Keeper,0.18,0.53,0.48,0.28,0.95,0.82,0.82,0.33,0.02,0.93
Ian, Kastelic, Denmark, Defender,0.47,0.75,0.22,0.1,0.63,0.49,0.76,0.69,0.57,0.5
Abril, Kavčič, Portugal, Midfielder,0.75,0.89,0.32,0.7,0.51,0.2,0.6,0.4,0.45,0.47
Abdelkader, Kelly, Croatia, Defender,0.07,0.54,0.32,0.3,0.92,0.91,0.61,0.73,0.4,0.57
Damian, Kelly, Ghana, Midfielder,0.51,0.51,0.55,0.52,0.44,0.64,0.41,0.43,0.52,0.48
Nesreen, Kelmendi, Brazil, Defender,0.27,0.59,0.23,0.33,0.56,0.38,0.34,0.76,0.23,0.51
Brahim, Kennedy, Germany, Defender,0.11,0.75,0.5,0.2,0.98,0.41,0.38,0.77,0.79,0.54
Aariz, Keo, England, Midfielder,0.63,0.71,0.39,0.47,0.65,0.24,0.66,0.48,0.9,0.54
Somporn, Keo, Senegal, Defender,0.25,0.85,0.27,0.5,0.8,0.78,0.48,0.64,0.37,0.51
Jack, Khat, Saudi Arabia, Forward,0.37,0.44,0.7,0.9,0.37,0.65,0.78,0.99,0.31,0.87
Gaspar, Khat, Morocco, Goal Keeper,0.1,0.61,0.43,0.26,0.99,0.58,0.55,0.29,0.13,0.83
Noel, Khay, Germany, Forward,0.48,0.53,0.83,0.98,0.5,0.33,0.69,0.48,0.36,0.86
Natalija, Kheang, Croatia, Defender,0.11,0.67,0.5,0.05,0.93,0.59,0.84,0.33,0.2,0.62
Enzo, Khiev, Switzerland, Midfielder,0.1,0.6,0.53,0.84,0.38,0.42,0.69,0.7,0.84,0.87
Nikoloz, Khin, Wales, Midfielder,0.3,0.52,0.54,0.4,0.64,0.72,0.41,0.81,0.59,0.8
Dimitra, Khin, Netherlands, Midfielder,0.22,0.65,0.55,0.57,0.51,0.24,0.58,0.53,0.55,0.76
Poppy, Khin, Belgium, Forward,0.89,0.47,0.75,0.85,0.51,0.78,0.65,0.94,0.7,0.4
Konstantina, Khlot, Saudi Arabia, Defender,0.14,0.53,0.3,0.5,0.67,0.63,0.57,0.57,0.78,0.65
Ben, Khlot, Argentina, Midfielder,0.02,0.58,0.77,0.8,0.41,0.22,0.51,0.56,0.57,0.66
Lur, Kim, England, Midfielder,0.44,0.64,0.48,0.39,0.31,0.42,0.56,0.98,0.46,0.89
Sienna, Kim, Costa Rica, Midfielder,0.91,0.68,0.79,0.62,0.48,0.48,0.97,0.56,0.53,0.44
Inès, King, Senegal, Midfielder,0.96,0.73,0.58,0.62,0.33,0.5,0.77,0.53,0.48,0.46
Sevda, Kiss, Costa Rica, Midfielder,0.31,0.66,0.41,0.5,0.61,0.63,0.83,0.62,0.75,0.54
Abdulaziz, Klemenčič, England, Midfielder,0.32,0.83,0.4,0.41,0.44,0.69,0.86,0.42,0.81,0.84
Beatriz, Kolar, Cameroon, Goal Keeper,0.4,0.56,0.36,0.24,0.87,0.59,0.68,0.26,0.05,0.86
Mamadou, Kolar, Croatia, Midfielder,0.55,0.54,0.63,0.53,0.43,0.49,0.57,0.84,0.36,0.72
Narine, Kolla, Denmark, Defender,0.74,0.58,0.47,0.33,0.85,0.44,0.52,0.53,0.65,0.88
Narine, Koller, Saudi Arabia, Defender,0.95,0.54,0.18,0.5,0.68,0.97,0.62,0.46,0.42,0.51
Judeline, Košir, France, Defender,0.93,0.52,0.51,0.36,0.98,0.44,0.7,0.64,0.46,0.59
Álvaro, Košir, Germany, Forward,0.49,0.68,0.76,0.52,0.35,0.48,0.63,0.74,0.88,0.65
Barbara, Kotnik, Spain, Defender,0.47,0.69,0.34,0.28,0.57,1.09,0.62,0.39,0.78,0.64
Elif, Kouch, Denmark, Midfielder,0.51,0.88,0.78,0.81,0.71,0.37,0.43,0.85,0.45,0.74
Paula, Kovač, Belgium, Forward,0.37,0.68,0.87,0.85,0.54,0.36,0.89,0.56,0.62,0.72
Kiaan, Kovačević, South Korea, Forward,0.75,0.48,0.78,0.94,0.55,0.62,0.73,0.99,0.32,0.43
Ulloriaq, Kovačić, France, Midfielder,0.1,0.78,0.47,0.48,0.64,0.45,0.76,0.83,0.36,0.47
Riccardo, Kowalski, Netherlands, Midfielder,0.97,0.89,0.48,0.56,0.68,0.72,0.5,0.73,0.48,0.73
Helma, Kowalski, South Korea, Midfielder,0.98,0.78,0.57,0.35,0.5,0.55,0.84,0.49,0.42,0.62
Jakov, Kowalski, Australia, Forward,0.84,0.67,0.87,0.42,0.37,0.45,0.74,0.4,0.62,0.43
Artur, Krajnc, USA, Midfielder,0.0,0.89,0.57,0.85,0.66,0.33,0.69,0.54,0.36,0.77
Maria Clara, Krawczyk, USA, Forward,0.61,0.46,0.77,0.83,0.2,0.45,0.99,0.67,0.47,0.88
Victoria, Kristensen, Cameroon, Midfielder,0.25,0.56,0.33,0.81,0.75,0.52,0.87,0.42,0.67,0.85
Raphaël, Kristensen, Costa Rica, Defender,0.9,0.74,0.56,0.51,0.76,0.72,0.59,0.75,0.24,0.7
Harun, Kristi, Tunisia, Midfielder,0.26,0.54,0.38,0.33,0.47,0.55,0.93,0.57,0.52,0.82
Bernardo, Kuen, Iran, Defender,0.78,0.62,0.13,0.51,0.51,0.7,0.49,0.69,0.5,0.51
Hydar, Kumar, Poland, Forward,0.99,0.55,0.66,0.57,0.56,0.36,0.49,0.61,0.8,0.4
Enzokuhle, Kuqi, Netherlands, Midfielder,0.66,0.74,0.58,0.82,0.33,0.69,0.71,0.65,0.9,0.74
Renata, Kuqi, Serbia, Goal Keeper,0.53,0.58,0.56,0.37,0.73,0.36,0.72,0.36,0.15,0.95
Mark, Laçi, Brazil, Midfielder,0.79,0.88,0.62,0.32,0.72,0.38,0.98,0.63,0.38,0.63
Sebastian, Laçi, Germany, Defender,0.42,0.71,0.56,0.33,0.57,0.52,0.55,0.69,0.69,0.52
David, Lakmal, Iran, Defender,0.73,0.81,0.26,0.18,0.76,0.34,0.36,0.44,0.39,0.62
Lianne, Larsen, South Korea, Defender,0.56,0.53,0.32,0.11,0.54,0.54,0.57,0.48,0.18,0.98
Aliya, Lau, Ecuador, Defender,0.96,0.68,0.48,0.3,0.84,0.45,0.41,0.39,0.4,0.77
Iman, Laurent, Argentina, Defender,0.89,0.87,0.2,0.05,0.76,0.57,0.65,0.76,0.45,0.68
Somayyeh, Lay, Serbia, Forward,0.18,0.45,0.56,0.94,0.41,0.64,0.49,0.97,0.31,0.58
Maša, Lay, Canada, Defender,0.74,0.87,0.43,0.53,0.66,0.5,0.46,0.46,0.14,0.7
Eliška, Lechner, Switzerland, Forward,0.19,0.62,0.64,0.66,0.4,0.52,0.9,0.72,0.79,0.56
Muhammad, Lechner, Australia, Defender,0.16,0.82,0.54,0.57,0.62,0.89,0.76,0.55,0.19,0.79
Okuhle, Leclercq, Brazil, Forward,0.36,0.61,0.63,0.8,0.37,0.72,0.82,0.45,0.47,0.83
Umar, Ledesma, England, Forward,0.05,0.47,0.87,0.5,0.49,0.33,0.46,0.47,0.88,0.79
Nur, Ledesma, Switzerland, Defender,0.31,0.72,0.24,0.12,0.53,0.87,0.82,0.47,0.29,0.96
Umar, Lee, Portugal, Midfielder,0.87,0.52,0.49,0.83,0.65,0.7,0.93,0.52,0.49,0.64
Karolína, Lefebvre, Saudi Arabia, Defender,0.1,0.66,0.52,0.57,0.92,0.51,0.86,0.47,0.27,0.85
Marya, Leone, Serbia, Defender,0.72,0.75,0.59,0.3,0.71,0.59,0.32,0.49,0.62,0.93
Moana, Leroy, Poland, Defender,0.06,0.52,0.47,0.01,0.71,0.59,0.68,0.31,0.79,0.88
